Institute,Program,Quota,Category,Gender,Opening Rank,Closing Rank,Closed_In_Round,Institute_Type
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",All India,OBC-NCL,Gender-Neutral,21002,21002,2,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",All India,OPEN,Female-only (including Supernumerary),25726,27450,3,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",All India,OPEN,Gender-Neutral,17370,17622,3,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",All India,SC,Female-only (including Supernumerary),125975,125975,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",All India,SC,Gender-Neutral,82567,82567,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",All India,ST,Gender-Neutral,155466,155466,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA for DASA-CIWG (5 Years, Integrated B. Tech. and MBA)",DASA-CIWG,OPEN,Gender-Neutral,688993,688993,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",All India,EWS,Female-only (including Supernumerary),25964,25964,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",All India,EWS,Gender-Neutral,15021,16331,1,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",All India,OBC-NCL,Female-only (including Supernumerary),37166,37166,2,IIIT
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",All India,OBC-NCL,Gender-Neutral,21151,21151,2,IIIT
